,plot 101,plot 102,plot 103,plot 104,plot 105,plot 106,plot 201,plot 202,plot 203,plot 204,plot 205,plot 206,plot 301,plot 302,plot 303,plot 304,plot 305,plot 306,plot 401,plot 402,plot 403,plot 404,plot 405,plot 406
Plant 1,54,98,60,28,92,84,95,20,79,84,105,56,22,70,101,80,28,76,61,105,29,104,86,78
Plant 2,59,75,74,23,80,110,88,34,82,90,82,45,32,83,83,91,37,70,72,92,32,92,81,85
Plant 3,82,70,84,40,84,113,85,37,87,100,95,29,19,81,72,93,33,85,77,90,34,88,93,98
Plant 4,62,65,92,37,64,80,71,18,82,88,105,28,28,82,84,115,30,62,84,89,36,79,66,106
Plant 5,58,86,90,39,103,95,65,17,45,83,102,40,22,84,68,94,28,59,85,96,15,83,74,79
Plant 6 ,66,55,88,44,116,103,56,30,44,50,85,23,17,101,69,84,29,36,59,99,31,95,73,77
Plant 7,64,60,69,30,73,70,64,13,52,80,103,25,16,79,52,50,42,60,68,78,53,76,76,86
Plant 8,45,93,70,26,92,57,57,15,98,83,87,19,25,54,72,85,41,37,40,94,36,65,59,76
Plant 9,55,84,68,34,104,60,68,26,90,90,94,13,24,86,87,86,32,68,56,77,51,71,69,97
Plant 10,56,97,66,43,115,58,88,13,96,92,105,29,22,73,87,71,20,50,59,82,35,72,67,82
